@relation numericData

@attribute Case_no numeric
@attribute checking_status_no_checking numeric
@attribute checking_status_more_200 numeric
@attribute checking_status_0_and_200 numeric
@attribute checking_status_less_0 numeric
@attribute credit_history_no_credits numeric
@attribute credit_history_existing_paid numeric
@attribute credit_history_delayed_previsoulsy numeric
@attribute credit_history_critical numeric
@attribute credit_history_all_paid numeric
@attribute purpose_retraining numeric
@attribute purpose_repairs numeric
@attribute purpose_radio_tv numeric
@attribute purpose_other numeric
@attribute purpose_furniture_equipment numeric
@attribute prupose_education numeric
@attribute purpose_business numeric
@attribute purpose_used_car numeric
@attribute purpose_new_car numeric
@attribute purpose_domestic_appliance numeric
@attribute credit_amount numeric
@attribute saving_<100 numeric
@attribute saving_no_saving numeric
@attribute saving_500<=X<1000 numeric
@attribute saving_100<=X<500 numeric
@attribute saving_>=1000 numeric
@attribute employment_<1 numeric
@attribute employment_unemployed numeric
@attribute employment_4<=X<7 numeric
@attribute employment_1<=X<4 numeric
@attribute employment>=7 numeric
@attribute male_mar/wid numeric
@attribute male_div/sep numeric
@attribute male_single numeric
@attribute female_div/dep/mar numeric
@attribute age numeric
@attribute unskilled_resident numeric
@attribute high_qualif/self_emp/mgmt numeric
@attribute skilled numeric
@attribute unemp_or_unskilled_non_res numeric
@attribute class_is_bad numeric
@attribute class_is_good numeric

@data
154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7758,0,0,0,0,1,0,0,0,0,1,0,0,0,1,29,0,0,1,0,0,1
155,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6967,0,0,0,1,0,0,0,1,0,0,0,0,1,0,36,0,1,0,0,0,1
156,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1282,1,0,0,0,0,0,0,0,1,0,0,0,0,1,20,0,0,1,0,1,0
157,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1288,0,0,0,1,0,0,0,0,0,1,0,0,1,0,48,0,0,1,0,0,1
158,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,339,1,0,0,0,0,0,0,0,0,1,1,0,0,0,45,1,0,0,0,0,1
159,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3512,0,0,0,1,0,0,0,1,0,0,0,0,1,0,38,0,0,1,0,0,1
160,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1898,0,1,0,0,0,0,0,0,1,0,0,0,1,0,34,1,0,0,0,0,1
161,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2872,0,0,0,1,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,0,1
162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1055,1,0,0,0,0,1,0,0,0,0,0,0,0,1,30,0,0,1,0,0,1
163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1262,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36,0,0,1,0,0,1
164,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7308,1,0,0,0,0,0,1,0,0,0,0,0,1,0,70,0,1,0,0,0,1
165,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,909,0,0,1,0,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,0,1
166,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2978,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,0,0,1,0,0,1
167,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1131,1,0,0,0,0,0,1,0,0,0,0,0,0,1,33,0,0,1,0,1,0
168,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1577,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20,0,0,1,0,0,1
169,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3972,1,0,0,0,0,0,0,1,0,0,0,0,0,1,25,0,0,1,0,0,1
170,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1935,1,0,0,0,0,0,0,0,0,1,0,1,0,0,31,0,0,1,0,1,0
171,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,950,1,0,0,0,0,0,0,0,0,1,0,0,1,0,33,0,0,1,0,1,0
172,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,763,1,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,1,0,0,1
173,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2064,1,0,0,0,0,0,1,0,0,0,0,0,0,1,34,0,1,0,0,1,0
174,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1414,1,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0,0,1,0,0,1
175,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3414,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26,0,0,1,0,1,0
176,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7485,0,1,0,0,0,0,1,0,0,0,0,0,0,1,53,0,1,0,0,1,0
177,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2577,1,0,0,0,0,0,0,0,1,0,0,1,0,0,42,0,0,1,0,0,1
178,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,338,0,0,1,0,0,0,0,0,0,1,0,0,1,0,52,0,0,1,0,0,1
179,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,1,0,0,0,0,0,0,1,0,0,0,0,1,0,31,0,1,0,0,0,1
180,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,571,1,0,0,0,0,0,0,0,0,1,0,0,1,0,65,0,0,1,0,0,1
181,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9572,1,0,0,0,0,1,0,0,0,0,0,1,0,0,28,0,0,1,0,1,0
182,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4455,1,0,0,0,0,0,0,0,1,0,0,1,0,0,30,0,1,0,0,1,0
183,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1647,0,1,0,0,0,0,0,0,1,0,0,0,1,0,40,1,0,0,0,1,0
184,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3777,0,0,0,0,1,0,0,0,1,0,0,0,1,0,50,0,0,1,0,0,1
185,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,884,1,0,0,0,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,1,0
186,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1360,1,0,0,0,0,0,0,0,1,0,0,0,1,0,31,0,0,1,0,0,1
187,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5129,1,0,0,0,0,0,0,0,0,1,0,0,0,1,74,0,1,0,0,1,0
188,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1175,1,0,0,0,0,0,1,0,0,0,0,0,1,0,68,0,0,0,1,0,1
189,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,674,0,0,0,1,0,0,0,1,0,0,1,0,0,0,20,0,0,1,0,1,0
190,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3244,1,0,0,0,0,0,0,0,1,0,0,0,0,1,33,0,0,1,0,0,1
191,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4591,0,0,0,0,1,0,0,0,1,0,0,0,1,0,54,0,1,0,0,1,0
192,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3844,0,0,0,1,0,0,0,1,0,0,0,0,1,0,34,1,0,0,0,1,0
193,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3915,1,0,0,0,0,0,0,0,1,0,0,0,1,0,36,0,0,1,0,1,0
194,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2108,1,0,0,0,0,0,0,1,0,0,1,0,0,0,29,0,0,1,0,0,1
195,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3031,0,0,0,1,0,0,0,0,1,0,0,0,1,0,21,0,0,1,0,1,0
196,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1501,1,0,0,0,0,0,0,0,0,1,0,0,0,1,34,0,1,0,0,1,0
197,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1382,1,0,0,0,0,0,0,0,1,0,0,0,0,1,28,0,0,1,0,0,1
198,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,951,0,0,0,1,0,1,0,0,0,0,0,0,0,1,27,0,0,1,0,1,0
199,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2760,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,0,1
200,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4297,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,0,1,0,0,1,0
201,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,936,0,0,1,0,0,0,0,0,0,1,0,0,1,0,52,0,0,1,0,0,1
202,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1168,1,0,0,0,0,0,0,0,1,0,1,0,0,0,27,1,0,0,0,0,1
203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5117,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26,0,0,1,0,0,1
204,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,902,1,0,0,0,0,0,0,1,0,0,1,0,0,0,21,0,0,1,0,1,0
205,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1495,1,0,0,0,0,0,0,0,0,1,0,0,1,0,38,1,0,0,0,0,1
206,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10623,1,0,0,0,0,0,0,0,0,1,0,0,1,0,38,0,1,0,0,0,1
207,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1935,1,0,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,1,0,0,1
208,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1424,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26,0,0,1,0,0,1
209,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6568,1,0,0,0,0,0,0,0,1,0,1,0,0,0,21,1,0,0,0,0,1
210,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1413,0,0,0,0,1,0,0,1,0,0,0,0,1,0,55,0,0,1,0,0,1
211,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3074,0,1,0,0,0,0,0,0,1,0,0,0,1,0,33,0,0,1,0,0,1
212,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3835,0,1,0,0,0,0,0,0,0,1,0,0,0,1,45,1,0,0,0,0,1
213,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5293,1,0,0,0,0,0,1,0,0,0,0,0,1,0,50,0,0,1,0,1,0
214,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1908,1,0,0,0,0,0,0,0,0,1,0,0,1,0,66,0,1,0,0,1,0
215,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3342,0,1,0,0,0,0,0,0,0,1,0,0,1,0,51,0,0,1,0,0,1
216,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,932,0,1,0,0,0,0,0,1,0,0,0,0,0,1,39,1,0,0,0,0,1
217,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3104,1,0,0,0,0,0,0,1,0,0,0,0,1,0,31,0,0,1,0,0,1
218,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3913,1,0,0,0,0,0,0,0,1,0,0,0,1,0,23,0,0,1,0,0,1
219,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3021,1,0,0,0,0,0,0,0,1,0,0,1,0,0,24,1,0,0,0,0,1
220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1364,1,0,0,0,0,0,0,0,1,0,0,0,0,1,64,0,0,1,0,0,1
221,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,625,1,0,0,0,0,1,0,0,0,0,1,0,0,0,26,1,0,0,0,0,1
222,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1200,0,1,0,0,0,0,0,0,1,0,0,0,0,1,23,0,0,1,0,0,1
223,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,707,1,0,0,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,0,0,1
224,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2978,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32,0,0,1,0,0,1
225,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4657,1,0,0,0,0,0,0,0,1,0,0,0,1,0,30,0,0,1,0,0,1
226,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2613,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0,0,1,0,0,1
227,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10961,0,0,0,0,1,0,0,1,0,0,0,0,1,0,27,0,0,1,0,1,0
228,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7865,1,0,0,0,0,0,0,0,0,1,0,0,1,0,53,0,1,0,0,1,0
229,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1478,1,0,0,0,0,0,0,1,0,0,0,0,1,0,22,0,0,1,0,1,0
230,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3149,1,0,0,0,0,1,0,0,0,0,0,0,1,0,22,0,0,1,0,0,1
231,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4210,1,0,0,0,0,0,0,0,1,0,0,0,1,0,26,0,0,1,0,1,0
232,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2507,0,0,1,0,0,0,0,0,0,1,0,0,1,0,51,1,0,0,0,0,1
233,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2141,0,0,0,1,0,0,0,1,0,0,0,0,1,0,35,0,0,1,0,0,1
234,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,866,1,0,0,0,0,0,0,0,1,0,1,0,0,0,25,1,0,0,0,0,1
235,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1544,1,0,0,0,0,0,0,1,0,0,0,0,1,0,42,1,0,0,0,0,1
236,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1823,1,0,0,0,0,0,1,0,0,0,0,0,1,0,30,0,1,0,0,1,0
237,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14555,0,1,0,0,0,0,1,0,0,0,0,0,1,0,23,0,0,0,1,1,0
238,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2767,0,0,0,1,0,0,0,0,0,1,0,1,0,0,61,1,0,0,0,1,0
239,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1291,1,0,0,0,0,0,0,0,1,0,0,0,0,1,35,0,0,1,0,0,1
240,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2522,1,0,0,0,0,0,0,0,0,1,0,0,1,0,39,0,0,1,0,0,1
241,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,915,0,1,0,0,0,0,0,0,0,1,0,0,0,1,29,0,0,1,0,1,0
242,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1595,1,0,0,0,0,0,0,1,0,0,0,0,1,0,51,0,0,1,0,0,1
243,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4605,1,0,0,0,0,0,0,0,0,1,0,0,1,0,24,0,0,1,0,1,0
244,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1185,1,0,0,0,0,0,0,0,1,0,0,0,0,1,27,0,0,1,0,0,1
245,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3447,0,0,1,0,0,0,0,0,1,0,0,0,0,1,35,1,0,0,0,0,1
246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1258,1,0,0,0,0,0,0,1,0,0,0,0,1,0,25,0,0,1,0,0,1
247,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,717,1,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0,0,1,0,0,1
248,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1204,0,0,0,1,0,0,0,0,1,0,0,0,1,0,35,0,0,1,0,0,1
249,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1925,1,0,0,0,0,0,0,0,1,0,0,0,1,0,26,0,0,1,0,0,1
250,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,433,1,0,0,0,0,0,1,0,0,0,0,0,0,1,22,0,0,1,0,1,0
251,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,666,0,0,0,0,1,0,0,1,0,0,0,0,0,1,39,1,0,0,0,0,1
252,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2251,1,0,0,0,0,0,0,0,1,0,0,0,0,1,46,1,0,0,0,0,1
253,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2150,1,0,0,0,0,0,0,0,1,0,0,0,0,1,24,0,0,1,0,1,0
254,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4151,0,0,0,1,0,0,0,0,1,0,0,0,1,0,35,0,0,1,0,0,1
255,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2030,0,1,0,0,0,0,0,1,0,0,0,0,1,0,24,0,0,1,0,0,1
256,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7418,0,1,0,0,0,0,0,0,1,0,0,0,1,0,27,1,0,0,0,0,1
257,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2684,1,0,0,0,0,0,0,0,1,0,0,0,1,0,35,1,0,0,0,0,1
258,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2149,1,0,0,0,0,0,0,0,1,0,0,1,0,0,29,0,0,1,0,1,0
259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3812,0,0,0,1,0,1,0,0,0,0,0,0,0,1,23,0,0,1,0,0,1
260,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1154,0,0,0,1,0,0,1,0,0,0,0,0,0,1,57,1,0,0,0,0,1
261,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1657,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0,0,1,0,0,1
262,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1603,1,0,0,0,0,0,0,0,0,1,0,0,0,1,55,0,0,1,0,0,1
263,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5302,1,0,0,0,0,0,0,0,0,1,0,0,1,0,36,0,1,0,0,0,1
264,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2748,1,0,0,0,0,0,0,0,0,1,0,0,0,1,57,1,0,0,0,0,1
265,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1231,1,0,0,0,0,0,0,0,0,1,0,0,1,0,32,1,0,0,0,0,1
266,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,802,1,0,0,0,0,0,0,0,0,1,0,0,1,0,37,0,0,1,0,1,0
267,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6304,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36,0,0,1,0,0,1
268,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1533,1,0,0,0,0,1,0,0,0,0,0,0,0,1,38,0,0,1,0,0,1
269,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8978,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,0,1,0,0,1,0
270,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,0,0,0,0,0,0,1,0,0,1,0,25,0,0,1,0,0,1
271,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2662,0,1,0,0,0,0,0,1,0,0,0,0,1,0,32,0,0,1,0,0,1
272,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1402,0,0,1,0,0,0,0,1,0,0,0,0,0,1,37,0,0,1,0,0,1
273,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12169,0,1,0,0,0,0,1,0,0,0,0,0,1,0,36,0,1,0,0,0,1
274,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3060,1,0,0,0,0,0,0,1,0,0,0,0,1,0,28,0,0,1,0,1,0
275,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11998,1,0,0,0,0,1,0,0,0,0,0,1,0,0,34,1,0,0,0,1,0
276,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2697,1,0,0,0,0,0,0,0,1,0,0,0,1,0,32,0,0,1,0,0,1
277,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2404,1,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,1,0,0,1
278,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1262,0,1,0,0,0,0,0,0,0,1,0,1,0,0,49,1,0,0,0,0,1
279,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4611,1,0,0,0,0,1,0,0,0,0,0,0,0,1,32,0,0,1,0,1,0
280,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1901,0,0,0,1,0,0,0,0,1,0,0,0,1,0,29,0,1,0,0,0,1
281,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3368,0,0,0,0,1,0,0,0,0,1,0,0,1,0,23,0,0,1,0,0,1
282,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1574,1,0,0,0,0,0,0,0,1,0,0,0,1,0,50,0,0,1,0,0,1
283,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1445,0,1,0,0,0,0,0,1,0,0,0,0,1,0,49,1,0,0,0,0,1
284,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1520,0,1,0,0,0,0,0,0,0,1,0,0,1,0,63,0,0,1,0,0,1
285,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3878,0,0,0,1,0,1,0,0,0,0,0,1,0,0,37,0,0,1,0,0,1
286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10722,1,0,0,0,0,1,0,0,0,0,0,0,0,1,35,1,0,0,0,0,1
287,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4788,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26,0,0,1,0,0,1
288,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7582,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31,0,1,0,0,0,1
289,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1092,1,0,0,0,0,0,0,0,1,0,0,0,0,1,49,0,0,1,0,0,1
290,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1024,1,0,0,0,0,1,0,0,0,0,1,0,0,0,48,0,0,1,0,1,0
291,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1076,1,0,0,0,0,0,0,0,1,0,1,0,0,0,26,0,0,1,0,0,1
292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9398,1,0,0,0,0,1,0,0,0,0,1,0,0,0,28,0,1,0,0,1,0
293,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6419,1,0,0,0,0,0,0,0,0,1,0,0,0,1,44,0,1,0,0,0,1
294,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4796,1,0,0,0,0,0,0,0,0,1,0,0,1,0,56,0,0,1,0,0,1
295,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7629,0,1,0,0,0,0,0,0,0,1,0,1,0,0,46,0,1,0,0,0,1
296,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9960,1,0,0,0,0,1,0,0,0,0,0,0,0,1,26,0,0,1,0,1,0
297,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4675,0,1,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,1,0,0,1
298,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1287,0,1,0,0,0,0,0,0,0,1,0,0,1,0,45,1,0,0,0,0,1
299,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2515,1,0,0,0,0,0,0,0,1,0,0,0,1,0,43,0,0,1,0,0,1
300,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2745,0,0,0,0,1,0,0,1,0,0,0,0,1,0,32,0,0,1,0,0,1
301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,672,1,0,0,0,0,0,1,0,0,0,0,0,0,1,54,0,0,0,1,0,1
302,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3804,1,0,0,0,0,0,0,0,1,0,0,0,0,1,42,0,0,1,0,1,0
303,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1344,0,1,0,0,0,0,0,1,0,0,0,0,1,0,37,1,0,0,0,1,0
304,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1038,1,0,0,0,0,0,0,1,0,0,0,0,1,0,49,0,0,1,0,0,1
305,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10127,0,0,1,0,0,0,0,0,1,0,0,0,1,0,44,0,0,1,0,1,0
306,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1543,0,0,0,0,1,0,0,0,1,0,0,1,0,0,33,0,0,1,0,0,1
307,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4811,0,1,0,0,0,0,0,1,0,0,0,0,0,1,24,1,0,0,0,0,1
308,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,727,0,0,0,1,0,1,0,0,0,0,1,0,0,0,33,1,0,0,0,1,0
309,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1237,1,0,0,0,0,0,0,0,1,0,0,0,0,1,24,0,0,1,0,1,0
310,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,276,1,0,0,0,0,0,0,0,1,0,1,0,0,0,22,1,0,0,0,0,1
